Bldg. #,Building Name,Room #,Area,Room Use,Organization Name
73,H.J. PATTERSON HALL,2238,58.13,030C ME ELE EQPT,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,2242,1760.9,110B GP CLASSRM,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,2293,196.81,020E STAIRWAY,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,2294,471.33,020A CORRIDOR,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,2295,67.17,020B ELEVATOR,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,2296,209.25,020E STAIRWAY,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,2297,1644.94,020A CORRIDOR,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3103,101.92,010A HSEKP CLST,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3108,1781.44,030C ME ELE EQPT,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3109,5.57,070 UNFINISHED,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3110,165.35,310A FACULTY OFF,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3111,103.89,030I MENS RESTRM,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3112,130.46,310A FACULTY OFF,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3113,157.53,030J WOMEN RSTRM,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3115,438.95,650 LOUNGE,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3116,134.34,310T STAFF OFF,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3117,155.59,350 CONF RM,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3118,131.88,310A FACULTY OFF,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3119,151,315 OFFICE SVC,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3120,307.29,350 CONF RM,SVPAAP-OFFICE OF INTERNATIONAL
73,H.J. PATTERSON HALL,3121,49.41,315 OFFICE SVC,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3123,132.59,310T STAFF OFF,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3124,145.14,310A FACULTY OFF,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3125,145.22,310T STAFF OFF,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3126,137.45,310A FACULTY OFF,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3127,135.09,310T STAFF OFF,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3128,128.7,310A FACULTY OFF,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3129,215.83,315 OFFICE SVC,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3130,170.67,310A FACULTY OFF,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3131,148.66,315 OFFICE SVC,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3132,56.46,030C ME ELE EQPT,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3133,155.24,350 CONF RM,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3134,110.8,315 OFFICE SVC,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3135,432.14,650 LOUNGE,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3136,140.22,310A FACULTY OFF,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3137,94.64,010A HSEKP CLST,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3138,127.47,310A FACULTY OFF,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3139,141.87,310T STAFF OFF,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3141,126.98,310A FACULTY OFF,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3142,1058.74,220C OPEN LAB,"ARHU-SCHOOL OF LANGUAGES, LITE"
73,H.J. PATTERSON HALL,3192,202.75,020A CORRIDOR,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3193,212.53,020P STAIRWELL,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3194,212.53,020P STAIRWELL,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3195,56.18,020B ELEVATOR,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3197,215.27,020A CORRIDOR,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3199,1415.63,020A CORRIDOR,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3202,188.3,030J WOMEN RSTRM,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3204,118.86,030F TELECOMM RM,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3206,205.21,310D GA TA OFF,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3208,172.26,310A FACULTY OFF,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3209,188.17,215 CLASS LB SV,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3210,163.96,310D GA TA OFF,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3211,991.83,210W CLASS LAB,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3212,171.43,310A FACULTY OFF,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3214,163.96,310D GA TA OFF,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3215,347.75,215 CLASS LB SV,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3216,166.43,310A FACULTY OFF,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3217,948.35,210W CLASS LAB,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3218,104.91,215 CLASS LB SV,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3218A,127.72,215 CLASS LB SV,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3220,167.13,310A FACULTY OFF,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3221,322.62,650 LOUNGE,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3222,299.75,215 CLASS LB SV,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3223,963.18,210W CLASS LAB,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3226,121.92,030I MENS RESTRM,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3227,33.76,030C ME ELE EQPT,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3229,27.06,215 CLASS LB SV,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3230,27.12,010A HSEKP CLST,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3231,21.53,215 CLASS LB SV,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3233,586.4,210D CLASS LAB,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3236,221.23,215 CLASS LB SV,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3237,886.18,210W CLASS LAB,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3238,300.58,310D GA TA OFF,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3239,941.23,210W CLASS LAB,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3239A,223.17,215 CLASS LB SV,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3240,309.21,310D GA TA OFF,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3241,94.43,315 OFFICE SVC,"CMNS-COLLEGE OF COMPUTER, MATH"
73,H.J. PATTERSON HALL,3293,194.87,020E STAIRWAY,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3294,344.36,020A CORRIDOR,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3295,68.46,020B ELEVATOR,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3296,209.25,020E STAIRWAY,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3297,1663.36,020A CORRIDOR,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,3299,56.52,020P STAIRWELL,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,4112,343.61,310T STAFF OFF,ARHU-DEAN-LATIN AMERICAN AND C
73,H.J. PATTERSON HALL,4115,165.83,310A FACULTY OFF,ARHU-DEAN-LATIN AMERICAN AND C
73,H.J. PATTERSON HALL,4116-1,67.1,315 OFFICE SVC,ARHU-DEAN-LATIN AMERICAN AND C
73,H.J. PATTERSON HALL,4116-2,67.03,315 OFFICE SVC,ARHU-MEYERHOFF PROGRAM & CENTE
73,H.J. PATTERSON HALL,4117,154.36,310A FACULTY OFF,ARHU-DEAN-LATIN AMERICAN AND C
73,H.J. PATTERSON HALL,4118-1,65.73,315 OFFICE SVC,ARHU-DEAN-LATIN AMERICAN AND C
73,H.J. PATTERSON HALL,4118-2,65.8,315 OFFICE SVC,ARHU-MEYERHOFF PROGRAM & CENTE
73,H.J. PATTERSON HALL,4119,164.96,310D GA TA OFF,ARHU-DEAN-LATIN AMERICAN AND C
73,H.J. PATTERSON HALL,4120-1,132.46,350 CONF RM,ARHU-DEAN-LATIN AMERICAN AND C
73,H.J. PATTERSON HALL,4120-2,132.37,350 CONF RM,ARHU-MEYERHOFF PROGRAM & CENTE
73,H.J. PATTERSON HALL,4121,6.82,030C ME ELE EQPT,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,4123-1,378.13,315 OFFICE SVC,ARHU-MEYERHOFF PROGRAM & CENTE
73,H.J. PATTERSON HALL,4123-2,100.64,310H SEC CLR OFF,ARHU-MEYERHOFF PROGRAM & CENTE
73,H.J. PATTERSON HALL,4123A,309.69,310D GA TA OFF,ARHU-MEYERHOFF PROGRAM & CENTE
73,H.J. PATTERSON HALL,4123B,212.25,310A FACULTY OFF,ARHU-MEYERHOFF PROGRAM & CENTE
73,H.J. PATTERSON HALL,4123C,173.05,310A FACULTY OFF,ARHU-MEYERHOFF PROGRAM & CENTE
73,H.J. PATTERSON HALL,4123D,12.78,315 OFFICE SVC,ARHU-MEYERHOFF PROGRAM & CENTE
73,H.J. PATTERSON HALL,4123E,155.82,310A FACULTY OFF,ARHU-MEYERHOFF PROGRAM & CENTE
73,H.J. PATTERSON HALL,4123F,141.61,310T STAFF OFF,ARHU-MEYERHOFF PROGRAM & CENTE
73,H.J. PATTERSON HALL,4123G,118.65,310T STAFF OFF,ARHU-MEYERHOFF PROGRAM & CENTE
73,H.J. PATTERSON HALL,4123H,141.97,310B ADMIN OFF,ARHU-MEYERHOFF PROGRAM & CENTE
73,H.J. PATTERSON HALL,4123J,29.87,315 OFFICE SVC,ARHU-MEYERHOFF PROGRAM & CENTE
73,H.J. PATTERSON HALL,4193,196.09,020P STAIRWELL,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,4194,196.09,020P STAIRWELL,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,4195,56.92,020B ELEVATOR,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,4196,105.6,020A CORRIDOR,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,4198,86.06,020A CORRIDOR,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,4199,403.9,020A CORRIDOR,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,B0117,62.25,030C ME ELE EQPT,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,B0119,477.59,050 INACTIVE,SVPAAP-SR VP ACADEMIC AFFAIRS
73,H.J. PATTERSON HALL,B0119A,65.08,030C ME ELE EQPT,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,B0119B,418.54,030C ME ELE EQPT,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,B0194,153.75,020A CORRIDOR,GENU-STATE APPROPRIATIONS
