,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
212,2015-00007633,02/20/15,23:50,"Frat 5, Phi Kappa Tau Fraternity at 5 Fraternity Row",02/20/15,23:52,Injured/Sick Person,CBE
214,2015-00007645,02/21/15,00:46,Calvert Hall at 7551 Calvert Service Ln,02/21/15,00:46,Injured/Sick Person,CBE
216,2015-00007646,02/21/15,00:51,Easton Hall at 3917 Denton Service Ln,02/21/15,00:51,DWI/DUI,Arrest
218,2015-00007714,02/21/15,18:41,Somerset Hall at 7567 Preinkert Dr,02/21/15,18:41,Injured/Sick Person,CBE
220,2015-00007718,02/21/15,19:50,Chapel Dr,02/21/15,19:50,Recovered Stolen Motor Vehicle,Arrest
222,2015-00007764,02/22/15,10:30,250 block of Denton Dr,02/22/15,11:19,CDS Violation,Active/Pending
224,2015-00007818,02/22/15,18:45,Carroll Hall at 7284 Preinkert Dr,02/22/15,18:51,Damage to State Property,CBE
226,2015-00007819,02/22/15,20:25,Health Center at 3983 Campus Dr,02/22/15,20:25,Injured/Sick Person,CBE
228,2015-00007869,02/23/15,04:53,"Armory, Reckord Armory at 4490 Rossborough Ln",02/23/15,04:53,Injured/Sick Person,CBE
230,2015-00007870,02/23/15,05:00,6900 block of Wake Forest Dr,02/23/15,05:18,CDS Violation,Active/Pending
232,2015-00007890,02/20/15,15:45,Commons 2 at 7524 Calvert Service Ln,02/23/15,09:22,Vandalism,Active/Pending
234,2015-00007893,02/19/15,15:00,Jimenez Hall at 4125 N Library Ln,02/23/15,09:30,Burglary,Active/Pending
236,2015-00007894,02/20/15,15:00,Commons 3 at 4318 Knox Rd,02/23/15,09:39,Vandalism,Active/Pending
238,2015-00007954,02/23/15,12:00,Lot XX1,02/23/15,16:43,Vandalism,Active/Pending
240,2015-00007958,02/20/15,12:00,"Lot 19, Lot U2, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln",02/23/15,17:16,Theft,Active/Pending
242,2015-00007980,02/23/15,19:05,Guilford Dr,02/23/15,19:05,Recovered Stolen Property,Unfounded
244,2015-00008009,02/23/15,22:58,Wake Forest Dr,02/23/15,22:58,CDS Violation,Arrest
246,2015-00008084,02/24/15,14:55,"Looney's Pub, The Varsity at 8150 Baltimore Ave",02/24/15,14:55,Emergency Petition,CBE
248,2015-00008090,02/24/15,14:00,"Francis Scott, Francis Scott Key, Francis Scott Key Hall, FS Key Hall, FSK at 4282 Chapel Ln",02/24/15,16:07,Theft,Active/Pending
250,2015-00008103,02/20/15,12:00,Cumberland Hall at 4145 Valley Dr,02/24/15,17:18,Harassment/Stalking (Title IX Related),Active/Pending
252,2015-00008120,02/24/15,18:29,"Kirwan Hall, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176 Campus Dr",02/24/15,18:29,Injured/Sick Person,CBE
254,2015-00008131,02/24/15,20:04,North Gate at 4306 Campus Dr,02/24/15,20:05,Other Incident,CBE
256,2015-00008188,02/25/15,02:22,College Ave,02/25/15,02:22,CDS Violation,Arrest
258,2015-00008192,02/25/15,03:03,College Park Towers at 4330 Hartwick Rd,02/25/15,03:03,Warrant/Summons Service,Arrest
260,2015-00008230,02/25/15,12:16,"Lot HH, PG1, Union Lane Parking Garage at 4170 Union Ln",02/25/15,12:16,Injured/Sick Person,CBE
262,2015-00008275,02/25/15,09:30,"Journalism Building, Knight Hall at 7765 Alumni Dr",02/25/15,18:42,Theft,Active/Pending
264,2015-00008293,02/25/15,21:00,250 block of Denton Dr,02/25/15,22:38,Harassment/Stalking,Active/Pending
266,2015-00008320,02/26/15,00:33,Somerset Hall at 7567 Preinkert Dr,02/26/15,00:33,Assault,CBE
268,2015-00008361,02/26/15,02:00,Queen Anne's Hall at 7645 Preinkert Dr,02/26/15,12:55,Hate Bias Incident,Active/Pending
270,2015-00008366,01/27/15,12:00,Chesapeake Building at 4300 Terrapin Trl,02/26/15,14:09,Recovered Stolen Motor Vehicle,Arrest
272,2015-00008393,02/26/15,21:22,Wicomico Hall at 7218 Preinkert Dr,02/26/15,21:22,Other Incident,CBE
274,2015-00008447,02/27/15,02:04,Oakland Hall at 3912 Denton Service Ln,02/27/15,02:04,CDS Violation,Arrest
276,2015-00008463,02/27/15,03:59,Ellicott Hall at 4052 Stadium Dr,02/27/15,03:59,Injured/Sick Person,CBE
278,2015-00008492,02/21/15,12:00,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr",02/27/15,10:04,Theft,Active/Pending
280,2015-00008515,10/20/14,12:00,Health Center at 3983 Campus Dr,02/27/15,15:13,Harassment/Stalking (Title IX Related),Suspended
282,2015-00008601,02/27/15,23:22,Oakland Hall at 3912 Denton Service Ln,02/27/15,23:22,CDS Violation,CBE
284,2015-00008606,02/27/15,23:53,Knox Rd,02/27/15,23:53,Injured/Sick Person,CBE
286,2015-00008608,02/27/15,10:10,"Frat 10, Sigma Kappa Sorority at 10 Fraternity Row",02/28/15,00:08,Vandalism,Suspended
288,2015-00008627,02/28/15,02:11,University Bl,02/28/15,02:11,DWI/DUI,Arrest
290,2015-00008628,02/28/15,02:17,Elkton Hall at 3981 Denton Service Ln,02/28/15,02:17,Injured/Sick Person,CBE
292,2015-00008642,02/27/15,17:20,I295 @ Md 197,02/27/15,17:20,Assist Other Agency,CBE
294,2015-00008648,02/28/15,04:00,7 Baltimore Ave,02/28/15,10:02,Suspicious Activity,CBE
296,2015-00008664,02/28/15,12:26,7 Baltimore Ave,02/28/15,12:26,Warrant/Summons Service,CBE
298,2015-00008694,02/28/15,17:43,"College Park Metro, Metro at 4600 River Rd",02/28/15,17:43,Warrant/Summons Service,Arrest
300,2015-00008706,02/28/15,18:55,Lehigh Rd,02/28/15,18:55,Theft,Arrest
302,2015-00008711,02/28/15,19:40,Oakland Hall at 3912 Denton Service Ln,02/28/15,19:40,CDS Violation,CBE
304,2015-00008717,02/28/15,20:48,Wells Py,02/28/15,20:48,Recovered Stolen Motor Vehicle,Unfounded
0,2015-00008780,03/01/15,01:28,"Leonardtown #250, Leonardtown Community Center at 7559 Yale Ave",03/01/15,01:28,Injured/Sick Person,CBE
2,2015-00008787,03/01/15,03:26,"Leonardtown #247, Leonardtown at 4713 Rossborough Ln",03/01/15,03:26,Injured/Sick Person,CBE
4,2015-00008828,02/28/15,19:02,Phi Sigma Sigma Sorority at 4531 College Ave,03/01/15,18:19,Harassment/Stalking,Unfounded
6,2015-00008891,02/27/15,15:30,Lot K4,03/02/15,08:05,Damage to State Property,Active/Pending
8,2015-00008912,03/02/15,11:30,Baltimore Ave,03/02/15,11:30,Warrant/Summons Service,Arrest
10,2015-00008919,03/02/15,13:21,"Eppley Recreation Center, ERC at 4128 Valley Dr",03/02/15,13:21,Injured/Sick Person,CBE
12,2015-00008946,03/02/15,12:10,Ellicott Area Dining Hall at 4028 Stadium Dr,03/02/15,16:21,Theft,Suspended
14,2015-00009063,02/12/15,07:00,Gossett Football Team House at 4068 Fieldhouse Dr,03/03/15,11:42,Lost Property,Active/Pending
16,2015-00009077,02/28/15,02:00,"Cole Field House, Cole Student Activities Building, Driscoll Center at 4090 Union Dr",03/03/15,13:44,Other Incident,Unfounded
18,2015-00009106,03/03/15,14:00,Skinner Building at 4300 Chapel Ln,03/03/15,17:19,Suspicious Activity,Active/Pending
20,2015-00009142,03/03/15,22:16,Ledos Restaraunt at 4509 Knox Rd,03/03/15,22:16,DWI/DUI,Arrest
22,2015-00009145,03/03/15,22:34,"Frat 12, Zeta Tau Alpha Sorority at 12 Fraternity Row",03/03/15,22:34,Burglary,Arrest
24,2015-00009163,03/04/15,00:15,Cecil Hall at 7549 Calvert Service Ln,03/04/15,01:10,Injured/Sick Person,CBE
26,2015-00009172,03/04/15,02:18,Denton Area Dining Hall at 3951 Denton Service Ln,03/04/15,02:18,Injured/Sick Person,CBE
28,2015-00009191,03/03/15,13:30,"Armory, Reckord Armory at 4490 Rossborough Ln",03/04/15,08:26,Vandalism,Suspended
30,2015-00009192,03/03/15,16:30,"John S. Toll Physics Building, Physics Building at 4150 Campus Dr",03/04/15,08:34,Theft,Suspended
32,2015-00009207,02/27/15,04:15,South Campus Dining Hall at 7093 Preinkert Dr,03/04/15,09:52,Theft,Arrest
34,2015-00009288,03/04/15,18:50,"Stamp Student Union, Student Union, Union at 3972 Campus Dr",03/04/15,23:01,Theft,Suspended
36,2015-00009337,03/05/15,02:00,Elkton Hall at 3981 Denton Service Ln,03/05/15,14:50,Injured/Sick Person,CBE
38,2015-00009339,03/05/15,15:00,Hornbake Library at 4130 Campus Dr,03/05/15,15:00,Accident - Departmental,CBE
40,2015-00009344,03/05/15,16:37,College Ave,03/05/15,16:37,Injured/Sick Person,CBE
42,2015-00009370,03/06/15,02:11,"Frat 7, Lamda Chi Alpha Fraternity at 7 Fraternity Row",03/06/15,02:11,Injured/Sick Person,CBE
44,2015-00009395,03/05/15,23:00,268 at 4314 Rowalt Dr,03/06/15,11:41,Theft,Unfounded
46,2015-00009416,03/06/15,16:00,7500 block of Princeton Ave,03/06/15,17:00,Noise Complaint,CBE
48,2015-00009428,03/06/15,18:25,"Bob ""Turtle"" Smith Stadium, Shipley Field, Turtle Stadium at 4122 Fieldhouse Dr",03/06/15,18:28,Injured/Sick Person,CBE
50,2015-00009443,03/06/15,22:19,Cumberland Hall at 4145 Valley Dr,03/06/15,22:19,CDS Violation,CBE
52,2015-00009450,03/06/15,22:55,240 block of Yale Ave,03/06/15,22:55,Noise Complaint,CBE
54,2015-00009461,03/07/15,00:05,6900 block of Preinkert Dr,03/07/15,00:05,CDS Violation,CBE
56,2015-00009463,03/07/15,00:21,250 block of Stadium Dr,03/07/15,00:21,Vandalism,CBE
58,2015-00009477,03/07/15,02:44,East West Hy,03/07/15,02:44,DWI/DUI,Arrest
60,2015-00009522,03/07/15,11:37,North Gate at 4306 Campus Dr,03/07/15,11:37,Recovered Stolen Property,Active/Pending
62,2015-00009523,03/07/15,11:59,Easton Hall at 3917 Denton Service Ln,03/07/15,11:59,CDS Violation,Arrest
64,2015-00009525,03/07/15,12:08,Oakland Hall at 3912 Denton Service Ln,03/07/15,12:08,Animal Complaint,CBE
66,2015-00009537,03/07/15,16:24,250 block of Stadium Dr,03/07/15,16:24,CDS Violation,Arrest
68,2015-00009629,03/08/15,04:04,Hagerstown Hall at 4000 Stadium Dr,03/08/15,04:04,Injured/Sick Person,CBE
70,2015-00009634,03/08/15,05:00,Symons Hall at 7998 Regents Dr,03/08/15,05:11,Fire,CBE
72,2015-00009649,03/08/15,11:21,BP Gas Station at 8153 Baltimore Ave,03/08/15,11:21,Warrant/Summons Service,Arrest
74,2015-00009652,03/07/15,10:00,Harford Hall at 7660 Regents Dr,03/08/15,11:55,Theft,Suspended
76,2015-00009674,03/07/15,01:00,Ellicott Hall at 4052 Stadium Dr,03/08/15,15:47,Assault,CBE
78,2015-00009713,03/08/15,22:30,Baltimore Ave,03/08/15,22:35,DWI/DUI,Arrest
80,2015-00009755,03/09/15,07:15,Cambridge Community Center at 4232 Farm Dr,03/09/15,07:15,Injured/Sick Person,CBE
82,2015-00009817,03/09/15,14:36,9100 block of Baltimore Ave,03/09/15,14:36,CDS Violation,Arrest
84,2015-00009819,03/09/15,15:00,12000 block of Old Baltimore Pike,03/09/15,15:00,Warrant/Summons Service,Arrest
86,2015-00009834,03/09/15,16:56,"Atlantic Building, Computer & Space Sciences Building at 4254 Stadium Dr",03/09/15,16:56,Other Incident,CBE
88,2015-00009835,03/08/15,19:00,Cambridge Hall at 4230 Farm Dr,03/09/15,17:01,CDS Violation,Arrest
90,2015-00009938,03/10/15,09:36,Pot Bellys at 7422 Baltimore Ave,03/10/15,09:36,Warrant/Summons Service,Arrest
92,2015-00009940,03/06/15,06:45,7 Baltimore Ave,03/10/15,09:57,Dept Property Damage/Loss,CBE
94,2015-00009959,03/10/15,15:42,Marie Mount Hall at 7814 Regents Dr,03/10/15,15:42,Injured/Sick Person,CBE
96,2015-00009962,03/10/15,16:00,3400 block of Tulane Dr,03/10/15,16:07,Domestic (Title IX Related),CBE
98,2015-00010033,03/11/15,01:46,Baltimore Ave,03/11/15,01:46,DWI/DUI,Arrest
100,2015-00010101,03/09/15,08:00,Golf Course Club House at 3800 Golf Course Rd,03/11/15,12:00,Burglary,Arrest
102,2015-00010103,03/11/15,13:30,Engineering Laboratory Building at 8136 Paint Branch Dr,03/11/15,14:15,Burglary,Suspended
104,2015-00010307,03/12/15,13:54,"Comcast Center, Xfinity Center at 8500 Paint Branch Dr",03/12/15,13:54,Disorderly Conduct,CBE
106,2015-00010317,03/12/15,16:02,North Gate at 4306 Campus Dr,03/12/15,16:02,Recovered Stolen Motor Vehicle,Active/Pending
108,2015-00010333,03/12/15,17:50,South Campus Dining Hall at 7093 Preinkert Dr,03/12/15,18:48,Theft,Active/Pending
110,2015-00010356,03/12/15,20:58,"Comcast Center, Xfinity Center at 8500 Paint Branch Dr",03/12/15,20:58,Assault,Arrest
112,2015-00010361,03/12/15,21:47,Baltimore Ave,03/12/15,21:47,Traffic Arrest,Arrest
114,2015-00010389,03/13/15,00:05,Lot GG1,03/13/15,00:05,CDS Violation,Arrest
116,2015-00010415,03/13/15,01:14,University Bl,03/13/15,01:14,DWI/DUI,Arrest
118,2015-00010442,03/13/15,04:08,Commons 1 at 4250 Lehigh Rd,03/13/15,04:08,Injured/Sick Person,CBE
120,2015-00010454,03/13/15,07:50,Cherry Hill Rd,03/13/15,07:54,Accident - Departmental,CBE
122,2015-00010463,03/13/15,09:54,South Campus Dining Hall at 7093 Preinkert Dr,03/13/15,09:54,Fraud,Suspended
124,2015-00010490,03/13/15,15:05,"Lee Building, South Administration at 7809 Regents Dr",03/13/15,15:26,Police Information,Suspended
126,2015-00010492,03/13/15,15:35,"H.J. Patterson Hall, HJ Patterson Hall at 4065 Campus Dr",03/13/15,15:53,Theft,Suspended
128,2015-00010510,03/13/15,15:00,"Chemistry, Chemistry Building at 8051 Regents Dr",03/13/15,18:41,Theft,Suspended
130,2015-00010523,03/13/15,19:42,250 block of Denton Dr,03/13/15,19:42,CDS Violation,CBE
132,2015-00010653,03/14/15,11:21,4300 block of Rowalt Dr,03/14/15,11:21,Recovered Stolen Property,Arrest
134,2015-00010655,03/14/15,11:50,261 at 4303 Rowalt Dr,03/14/15,11:53,Injured/Sick Person,CBE
136,2015-00010706,03/14/15,20:00,"Comcast Center, Xfinity Center at 8500 Paint Branch Dr",03/14/15,20:11,Injured/Sick Person,CBE
138,2015-00010749,03/14/15,23:30,Yale Ave,03/14/15,23:30,CDS Violation,CBE
140,2015-00010762,03/15/15,00:19,Baltimore Ave,03/15/15,00:19,Alcohol Violation,Arrest
142,2015-00010780,03/15/15,01:54,University Bl,03/15/15,01:54,DWI/DUI,Arrest
144,2015-00010786,03/15/15,03:09,Baltimore Ave,03/15/15,03:09,DWI/DUI,Arrest
146,2015-00010915,03/15/15,22:30,"Lot 19, Lot U2, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln",03/15/15,22:30,CDS Violation,Arrest
148,2015-00010947,03/16/15,04:44,City of CP Garage at Knox Rd,03/16/15,04:44,Recovered Stolen Property,Arrest
150,2015-00011045,02/11/15,17:25,260 at 4301 Rowalt Dr,03/16/15,16:38,Theft,Suspended
152,2015-00011111,03/16/15,22:29,Baltimore Ave,03/16/15,22:29,Warrant/Summons Service,Arrest
154,2015-00011114,03/16/15,22:32,University Bl,03/16/15,22:32,Warrant/Summons Service,Arrest
156,2015-00011117,03/16/15,22:47,Baltimore Ave,03/16/15,22:47,CDS Violation,Arrest
158,2015-00011158,03/17/15,02:29,"College Park Metro, Metro at 4600 River Rd",03/17/15,02:29,DWI/DUI,Arrest
160,2015-00011295,03/17/15,20:27,,03/17/15,20:27,Traffic Arrest,Arrest
162,2015-00011318,03/17/15,22:35,,03/17/15,22:35,DWI/DUI,Arrest
164,2015-00011352,03/18/15,01:36,Lot GG1,03/18/15,01:36,DWI/DUI,Arrest
166,2015-00011358,03/18/15,03:01,10000 block of Rhode Island Ave,03/18/15,03:01,DRE,CBE
168,2015-00011375,03/12/15,07:00,"Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave",03/18/15,07:49,Dept Property Damage/Loss,Active/Pending
170,2015-00011432,03/18/15,12:30,"Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave",03/18/15,13:24,Identity Theft,CBE
172,2015-00011525,03/18/15,23:23,University Bl,03/18/15,23:23,Traffic Arrest,Arrest
174,2015-00011553,03/19/15,05:20,Baltimore Ave,03/19/15,05:20,Warrant/Summons Service,Arrest
176,2015-00011566,03/13/15,12:00,"Francis Scott, Francis Scott Key, Francis Scott Key Hall, FS Key Hall, FSK at 4282 Chapel Ln",03/19/15,07:37,Burglary,Active/Pending
178,2015-00011576,03/19/15,09:14,Hagerstown Hall at 4000 Stadium Dr,03/19/15,09:14,Injured/Sick Person,CBE
180,2015-00011645,03/19/15,18:47,Lot 16a,03/19/15,18:47,Other Incident,Arrest
182,2015-00011704,03/20/15,01:17,Campus Village at 8145 Baltimore Ave,03/20/15,01:17,CDS Violation,Arrest
184,2015-00011762,03/20/15,13:15,4900 block of Rhode Island Ave,03/20/15,13:53,Dept Property Damage/Loss,Unfounded
186,2015-00011777,03/20/15,15:30,"Stamp Student Union, Student Union, Union at 3972 Campus Dr",03/20/15,15:49,Theft,CBE
188,2015-00011819,03/20/15,21:58,Baltimore Ave,03/20/15,21:58,DWI/DUI,Arrest
190,2015-00011875,03/21/15,01:51,North Gate at 4306 Campus Dr,03/21/15,01:55,DWI/DUI,Arrest
192,2015-00011918,03/21/15,15:30,"Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave",03/21/15,15:37,Dept Property Damage/Loss,CBE
194,2015-00012006,03/21/15,22:30,Baltimore Ave,03/21/15,22:30,CDS Violation,CBE
196,2015-00012051,03/22/15,00:38,Lot 1b,03/22/15,00:38,CDS Violation,Arrest
198,2015-00012071,03/22/15,02:18,Baltimore Ave,03/22/15,02:18,DWI/DUI,Arrest
200,2015-00012179,03/22/15,18:44,Ritchie Coliseum at 7675 Baltimore Ave,03/22/15,18:44,Injured/Sick Person,CBE
202,2015-00012215,03/22/15,22:23,South Campus Dining Hall at 7093 Preinkert Dr,03/22/15,22:23,Alcohol Violation,Arrest
204,2015-00012253,03/23/15,00:45,Baltimore Ave,03/23/15,00:45,DWI/DUI,Arrest
206,2015-00012294,03/13/15,03:30,"Stamp Student Union, Student Union, Union at 3972 Campus Dr",03/23/15,07:39,Stolen Motor Vehicle,Active/Pending
208,2015-00012316,03/23/15,10:47,Golf Course Club House at 3800 Golf Course Rd,03/23/15,10:47,CDS Violation,Arrest
210,2015-00012319,03/23/15,11:30,Health Center at 3983 Campus Dr,03/23/15,11:30,Emergency Petition,CBE
212,2015-00012320,03/12/15,03:42,Ellicott Area Dining Hall at 4028 Stadium Dr,03/23/15,12:19,Theft,Suspended
214,2015-00012324,03/20/15,{NO TIME},"Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave",03/23/15,13:12,Dept Property Damage/Loss,Active/Pending
216,2015-00012328,03/22/15,13:20,"Stamp Student Union, Student Union, Union at 3972 Campus Dr",03/23/15,14:28,Theft,Suspended
218,2015-00012329,03/23/15,14:51,"A.V. Williams Building, AV Williams at 8223 Paint Branch Dr",03/23/15,14:51,Weapon Violation,Unfounded
220,2015-00012332,03/14/15,12:00,Calvert Hall at 7551 Calvert Service Ln,03/23/15,15:55,Burglary,Suspended
222,2015-00012349,03/23/15,07:25,"Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave",03/23/15,17:49,Dept Property Damage/Loss,CBE
224,2015-00012353,03/12/15,14:30,Oakland Hall at 3912 Denton Service Ln,03/23/15,18:18,Theft,Active/Pending
226,2015-00012357,03/23/15,18:45,4600 block of College Ave,03/23/15,19:18,Indecent Exposure (Title IX Related),Suspended
228,2015-00012361,03/23/15,12:55,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr",03/23/15,20:16,Theft,Active/Pending
230,2015-00012442,02/01/15,{NO TIME},Riggs Alumni Center at 7801 Alumni Dr,03/24/15,09:30,Telephone/EMail Misuse,Active/Pending
232,2015-00012457,03/03/15,09:01,"Motor Pool, Severn Building, Terp Trader, Washington Post Building at 5245 Greenbelt Rd",03/24/15,12:35,Telephone/EMail Misuse,Active/Pending
234,2015-00012466,03/24/15,14:07,O/l I-495 At Mm 20.5,03/24/15,14:07,Dept Property Damage/Loss,
236,2015-00012468,03/24/15,14:17,"Stamp Student Union, Student Union, Union at 3972 Campus Dr",03/24/15,14:18,Suspicious Person/Auto,Active/Pending
238,2015-00012471,03/24/15,16:15,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200 Valley Dr",03/24/15,16:28,Injured/Sick Person,CBE
240,2015-00012528,03/24/15,22:20,Easton Hall at 3917 Denton Service Ln,03/24/15,22:20,Injured/Sick Person,CBE
242,2015-00012555,03/25/15,00:11,Frederick Hall at 4402 Lehigh Rd,03/25/15,00:11,Injured/Sick Person,CBE
244,2015-00012577,03/24/15,16:30,Cumberland Hall at 4145 Valley Dr,03/25/15,02:33,Injured/Sick Person,CBE
246,2015-00012581,03/25/15,02:57,BP Gas Station at 8153 Baltimore Ave,03/25/15,02:57,Warrant/Summons Service,Arrest
248,2015-00012595,03/25/15,09:06,"Stamp Student Union, Student Union, Union at 3972 Campus Dr",03/25/15,09:06,Trespassing,Arrest
250,2015-00012606,03/25/15,13:35,Lefrak Hall at 7251 Preinkert Dr,03/25/15,13:35,Injured/Sick Person,CBE
252,2015-00012610,03/24/15,22:30,University Courtyard #4 at 8400 Boteler Ln,03/25/15,14:19,Theft,Suspended
254,2015-00012694,03/25/15,22:30,Hagerstown Hall at 4000 Stadium Dr,03/25/15,22:30,Injured/Sick Person,CBE
256,2015-00012776,03/23/15,20:00,Denton Area Dining Hall at 3951 Denton Service Ln,03/26/15,09:01,Theft,Active/Pending
258,2015-00012796,03/26/15,11:00,Denton Area Dining Hall at 3951 Denton Service Ln,03/26/15,11:34,Police Information,CBE
260,2015-00012809,03/26/15,11:00,"Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave",03/26/15,13:36,Other Incident,Active/Pending
262,2015-00012811,03/26/15,09:00,Hornbake Library at 4130 Campus Dr,03/26/15,13:35,Theft,Suspended
264,2015-00012818,03/26/15,14:54,"College Park Shopping Center, CVS at 7300 Baltimore Ave",03/26/15,14:56,Accident - Departmental,CBE
266,2015-00012828,03/26/15,16:37,Health Center at 3983 Campus Dr,03/26/15,16:37,Emergency Petition,CBE
268,2015-00012840,03/26/15,17:30,140 block of Industrial La,03/26/15,17:48,Theft,Suspended
270,2015-00012913,03/27/15,00:41,Commons 1 at 4250 Lehigh Rd,03/27/15,00:41,Injured/Sick Person,CBE
272,2015-00012937,03/27/15,02:00,Baltimore Ave,03/27/15,02:28,Assist Other Agency,CBE
274,2015-00012958,12/31/11,12:00,Van Munching Hall at 7699 Mowatt Ln,03/27/15,09:48,Theft,CBE
276,2015-00013079,03/27/15,22:47,"Capital One Field at Byrd Stadium, Maryland Stadium",03/27/15,22:47,CDS Violation,Arrest
278,2015-00013086,03/27/15,23:02,"Stamp Student Union, Student Union, Union at 3972 Campus Dr",03/27/15,23:02,Injured/Sick Person,CBE
280,2015-00013153,03/28/15,03:15,Baltimore Ave,03/28/15,03:15,DWI/DUI,Arrest
282,2015-00013154,03/28/15,03:26,,03/28/15,03:26,Vandalism,Arrest
284,2015-00013198,03/28/15,10:00,"Art Sociology Building, Art-Sociology Building, Parren J. Mitchell Art-Sociology Building at 3834 Campus Dr",03/28/15,10:20,Suspicious Person/Auto,Suspended
286,2015-00013250,03/27/15,14:45,"Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave",03/28/15,17:20,Harassment/Stalking,CBE
288,2015-00013285,03/27/15,23:00,Elkton Hall at 3981 Denton Service Ln,03/28/15,21:30,Vandalism,Suspended
290,2015-00013307,03/28/15,23:19,Campus S Dr,03/28/15,23:19,Warrant/Summons Service,Arrest
292,2015-00013310,03/28/15,23:36,268 at 4314 Rowalt Dr,03/28/15,23:36,Emergency Petition,CBE
294,2015-00013330,03/29/15,02:32,Baltimore Ave,03/29/15,02:32,DWI/DUI,Arrest
296,2015-00013410,03/29/15,15:46,North Gate at 4306 Campus Dr,03/29/15,15:46,Other Incident,CBE
298,2015-00013414,03/26/15,12:30,Architecture Building at 3835 Campus Dr,03/29/15,16:49,Fraud,Suspended
300,2015-00013454,03/29/15,16:00,Caroline Hall at 7154 Preinkert Dr,03/29/15,20:51,Injured/Sick Person,CBE
302,2015-00013524,03/29/15,11:00,,03/30/15,02:49,Stolen Motor Vehicle,Unfounded
304,2015-00013543,03/28/15,22:00,Kim Engineering Building at 8228 Paint Branch Dr,03/30/15,08:34,Burglary,Arrest
306,2015-00013556,03/27/15,16:00,"Armory, Reckord Armory at 4490 Rossborough Ln",03/30/15,10:11,Vandalism,Suspended
308,2015-00013560,03/13/15,18:00,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl",03/30/15,10:43,Theft,Unfounded
310,2015-00013651,03/30/15,22:02,"Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave",03/30/15,22:02,Dept Property Damage/Loss,CBE
312,2015-00013688,03/31/15,01:57,"The View, University View at 8204 Baltimore Ave",03/31/15,01:57,Suspicious Person/Auto,Active/Pending
314,2015-00013729,03/31/15,13:30,"Chemistry, Chemistry Building at 8051 Regents Dr",03/31/15,14:13,Theft,Unfounded
316,2015-00013732,03/21/15,12:00,"Comcast Center, Xfinity Center at 8500 Paint Branch Dr",03/31/15,15:05,Fraud,Active/Pending
318,2015-00013737,03/26/15,12:00,Worcester Hall at 7405 Preinkert Dr,03/31/15,15:41,Theft,Suspended
320,2015-00013773,03/31/15,21:09,University Bl,03/31/15,21:09,Traffic Arrest,Arrest
322,2015-00013794,03/31/15,23:00,Ellicott Hall at 4052 Stadium Dr,03/31/15,23:21,Vandalism,Suspended
0,2015-00013852,03/27/15,{NO TIME},Riggs Alumni Center at 7801 Alumni Dr,04/01/15,08:21,Suspicious Activity,CBE
2,2015-00013860,04/01/15,10:23,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl",04/01/15,10:23,CDS Violation,Arrest
4,2015-00013864,03/31/15,18:00,Lot HH1,04/01/15,10:34,Theft,Suspended
6,2015-00013907,04/01/15,17:21,Lot R3,04/01/15,17:21,Recovered Stolen Motor Vehicle,Arrest
8,2015-00013935,04/01/15,18:40,Hagerstown Hall at 4000 Stadium Dr,04/01/15,20:56,Theft,Suspended
10,2015-00013962,04/01/15,23:38,Ellicott Area Dining Hall at 4028 Stadium Dr,04/01/15,23:38,Injured/Sick Person,CBE
12,2015-00013971,04/02/15,00:31,Carroll Hall at 7284 Preinkert Dr,04/02/15,00:31,Injured/Sick Person,CBE
14,2015-00013989,04/02/15,02:30,"Stamp Student Union, Student Union, Union at 3972 Campus Dr",04/02/15,02:30,Vandalism,Arrest
16,2015-00014023,04/02/15,11:20,Prince Frederick Hall at 7030 Preinkert Dr,04/02/15,11:23,Injured/Sick Person,CBE
18,2015-00014024,04/02/15,11:00,,04/02/15,11:24,Other Incident,CBE
20,2015-00014028,03/27/15,04:30,Hagerstown Hall at 4000 Stadium Dr,04/02/15,12:18,Theft,Suspended
22,2015-00014142,04/03/15,01:39,College Park Towers at 4330 Hartwick Rd,04/03/15,01:39,Assist Other Agency,CBE
