"What is your gender?","What is your age range? If under 18 years old please stop here and do not complete this survey. (Select one)","I am a (Select as many as apply)","If a current UMD student, which best describes you? (Select one)","Which best describes how often you read The Diamondback?","When I do read the Diamondback I most often choose content in these areas (Select all that apply)","On a scale of 1 to 5, how relevant is The Diamondback to issues that are most important to you?","Which of the following would you like to see more of from The Diamondback? (Select all that apply)","What type of device do you most often use to access The Diamondback? (Select all that apply)","When reading news on your phone do you prefer to use","On a scale of 1 to 5, if you knew that The Diamondback had a mobile app how likely would you be to download it?","Do you follow The Diamondback on any of the following? (Select all that apply)","Which sources of news do you use to stay updated on campus information that is relevant to you? (Select all that apply)","What could The Diamondback do to improve? ","What do you think The Diamondback does well as a news source?","If you have any other comments, suggestions or questions, please enter them below. Thank you."
"Prefer not to answer",61-70,"UMD faculty/staff",,"At least once a day",Opinions,1,"Veteran's related issues","Computer / Laptop","Mobile website",1,"None of the above","University emails",,,"After 4 1/2 years of employment at UMD, I have yet to see an article, much less a headline story, on Veteran's Day, citing the invaluable contribution to our country of the 18M veterans who have served throughout our history. We dedicate an entire month to Black History and recognize Juneteenth and MLK Day as federal holidays and have countless stories and articles in conjunction. Absolutely nothing on Veteran's Day. I find that incredibly disrespectful, short-sided and ignorant. I thought this was an institution of ""higher education?"""
Male,61-70,"UMD faculty/staff",,"At least once a day","Campus News",3,"Breaking News","Computer / Laptop","Mobile website",1,"None of the above","The Diamondback",,,
Male,51-60,"UMD faculty/staff",,"Several times a week","Campus News
College Park News",5,,"Computer / Laptop",,1,"Daily emailed newsletter","The Diamondback
Maryland Today
University emails",,,
Female,61-70,"UMD faculty/staff",,"At least once a week","Campus News
College Park News",4,"Lifestyle Content
Opinions",Phone,"Mobile website",5,"None of the above","The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth","Cover more serious campus issues like wages and benefits and the university budget. ","Very good at bringing in College Park news",
Male,22-24,"UMD faculty/staff",,"At least once a week","Campus News",3,"Diversity, Equity and Inclusion",Phone,"I get my news from social media",3,Twitter,"The Diamondback
University emails
University Social Media
Twitter",,,
Female,41-50,"UMD faculty/staff",,"Several times a week","Campus News
College Park News
Diversions/Entertainment",3,,"Computer / Laptop","Mobile website",2,"Daily emailed newsletter
Facebook","The Diamondback
Maryland Today
University emails
University Social Media",,,
Female,61-70,"UMD faculty/staff",,"At least once a day","Campus News
College Park News
Sports",5,"Breaking News
Student Profiles
Sports
Diversity, Equity and Inclusion","Computer / Laptop",,2,"Daily emailed newsletter","The Diamondback
Terrapin Yearbook
Maryland Today
University emails
Word of Mouth
Twitter","more coverage of women's sports",,
Female,61-70,"UMD faculty/staff",,"At least once a day","Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",5,"Breaking News
Entertainment
Opinions
Sports
Diversity, Equity and Inclusion","Phone
Tablet","I get my news from social media",1,"Daily emailed newsletter
Instagram
Twitter","The Diamondback
University Social Media
Word of Mouth
Twitter","Print a paper issue every 6 month some don't follow on lines 
","They go straight to The source And cover's The scene ",
Female,31-40,"UMD faculty/staff",,"At least once a week","Campus News",3,"Breaking News
Content on campus activities that have or will happen","Computer / Laptop",App,3,"None of the above","Maryland Today
University emails
University Social Media",,,
Male,51-60,"UMD faculty/staff",,"At least once a day","Campus News
College Park News
Sports",3,"Breaking News
Opinions
Sports","Phone
Computer / Laptop","Mobile website",2,"None of the above
I do not use social media",,"Have a print copy
",,
Female,71+,"UMD faculty/staff",,"Several times a week","Campus News
College Park News
Opinions",3,"Breaking News
Student Profiles","Computer / Laptop",,1,"I do not use social media","The Diamondback
Maryland Today
University emails
Word of Mouth","Maybe have links to longer articles for readers who would like more detailed coverage of some issues. I understand that you want to keep items short for the busy reader but on some issues you could go deeper. ","Reports major issues in College Park and between College Park and campus.","The newspaper is considerably better than when I first taught here some decades ago!"
Female,61-70,"UMD alumni
UMD faculty/staff
Parent of a former student",,"At least once a day","Campus News",4,"Breaking News
Student Profiles","Computer / Laptop",App,1,"Daily emailed newsletter","The Diamondback
Maryland Today
University emails",,,
Male,51-60,"UMD alumni
UMD faculty/staff
Parent of a former student",,"At least once a day","Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",4,"Breaking News
Student Profiles
Sports
Diversity, Equity and Inclusion","Phone
Computer / Laptop",App,5,"Daily emailed newsletter","The Diamondback
Terrapin Yearbook
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Male,71+,"UMD alumni
UMD faculty/staff
Parent of a former student",,"At least once a month","Campus News
College Park News
Sports
Crime",4,"Student Profiles
Entertainment
Sports","Computer / Laptop
Tablet","Mobile website",4,Facebook,"The Diamondback
University emails
University Social Media",,,
Male,51-60,"UMD alumni
UMD faculty/staff
College Park citizen or official/non-student",,"At least once a day","Campus News
College Park News",4,"Breaking News
Entertainment","Computer / Laptop",App,1,Facebook,"The Diamondback
Maryland Today","More coverage of City of College Park council actions","Steers clear of bias and politics",
Female,31-40,"UMD alumni
UMD faculty/staff
College Park citizen or official/non-student",Other,"At least once a day","Campus News
College Park News
Opinions",4,"Breaking News
Lifestyle Content
Diversity, Equity and Inclusion","Computer / Laptop","Mobile website",5,Instagram,"The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Female,25-30,"UMD alumni
UMD faculty/staff",,"Several times year","Campus News",3,,"Computer / Laptop",,1,"None of the above","Maryland Today
University emails
Word of Mouth","I wish you would put a physical paper out again. I sometimes forget the paper still exists being web only, but Maryland Today doesn't report on a lot of the campus issues. ",,
Female,25-30,"UMD alumni
UMD faculty/staff",,"At least once a week","Campus News
College Park News
Crime",3,,"Computer / Laptop",App,5,"Daily emailed newsletter","The Diamondback
Maryland Today
University emails
University Social Media
Twitter","Please replace and double check the hyperlinks in your newsletter. Your regularly incorrectly link to old stories, and it's a frustrating experience for the reader. The Feb 23rd newsletter had at least three wrong links.",,
Female,31-40,"UMD alumni
UMD faculty/staff",Other,"Several times a week","Campus News
College Park News",5,"Breaking News
Diversity, Equity and Inclusion","Computer / Laptop","Mobile website",1,"None of the above","The Diamondback
Stories Beneath the Shell
Maryland Today
University emails
University Social Media
Word of Mouth",N/A,"Writing on a wide range of different topics- great job!",N/A
Female,25-30,"UMD alumni
UMD faculty/staff",,"At least once a month","Campus News
College Park News
Opinions",4,"none of these","Computer / Laptop",App,4,"Daily emailed newsletter
Twitter","The Diamondback
Maryland Today
University emails
University Social Media
Twitter","Publish fewer fluff pieces. Remove editor's note in daily email. ",,"Many of the opinion pieces I read by students are lacking perspective and information because they are new to UMD. These articles often appear rushed and lack substance. Maybe you could feature more thoughtful opinion articles written by faculty, staff and alumni. This would also be a way to better engage that audience."
Female,31-40,"UMD alumni
UMD faculty/staff",,"At least once a week","Campus News
College Park News",4,,"Computer / Laptop",,1,"Daily emailed newsletter
Instagram
Twitter","The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth
Twitter",,,
Female,71+,"UMD alumni
UMD faculty/staff",,"At least once a week","Campus News",3,"Breaking News
Diversity, Equity and Inclusion",Phone,App,3,Twitter,"The Diamondback
WMUC Radio
University emails
Word of Mouth
Twitter",,"UMD sports coverage",
Female,25-30,"UMD alumni
UMD faculty/staff",,"Several times a week","Campus News
College Park News",,"Breaking News","Phone
Computer / Laptop
Tablet","Mobile website",,"I do not use social media","The Diamondback
Maryland Today",,,
Female,31-40,"UMD alumni
UMD faculty/staff",,"At least once a week","Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",3,"Breaking News
Entertainment
Opinions","Computer / Laptop","Mobile website",2,"None of the above","The Diamondback
Maryland Today",,,
Female,31-40,"UMD alumni
UMD faculty/staff",,"Several times year","Campus News",4,"Breaking News
Student Profiles
Diversity, Equity and Inclusion","Phone
Computer / Laptop","I get my news from social media",2,"Facebook
Instagram","The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth
Twitter",,,
Male,71+,"UMD alumni
Parent of a former student",,"At least once a week",Sports,5,Sports,"Computer / Laptop","Mobile website",3,"I do not use social media","The Diamondback",,,
Male,61-70,"UMD alumni
Parent of a former student",,"At least once a month","Campus News
Sports",3,"Breaking News
Opinions",Phone,App,4,"None of the above","The Diamondback
University Social Media",,,
Male,61-70,"UMD alumni
Parent of a former student",,"At least once a month","Campus News
Sports",5,,Phone,"Mobile website",1,Twitter,"The Diamondback",,"Reports on all sports ",
Female,71+,"UMD alumni
Parent of a former student",,"Several times year",Opinions,2,"Lifestyle Content
Student Profiles
Diversity, Equity and Inclusion",Phone,"Mobile website",5,"None of the above","Word of Mouth","My daughter was on staff years ago and it was an asset to her career.",,
Male,71+,"UMD alumni
Parent of a former student",,"At least once a day","Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",4,"Breaking News
Lifestyle Content
Student Profiles
Entertainment
Opinions
Sports
Diversity, Equity and Inclusion","Phone
Computer / Laptop
Tablet",App,5,"Daily emailed newsletter
Facebook
Instagram
TikTok
Twitter","The Diamondback
Twitter",,,
Male,71+,"UMD alumni
Parent of a former student",,"At least once a week","College Park News
Diversions/Entertainment
Crime",3,"Student Profiles
Entertainment
Diversity, Equity and Inclusion",Phone,App,2,Facebook,"The Diamondback","Include news about rental housing on and off campus. ","Includes news about College Park.",
Male,61-70,"UMD alumni
Parent of a former student",,"Very rarely","College Park News
Sports",4,,Phone,"Mobile website",3,"None of the above",,,,
Male,51-60,"UMD alumni
Parent of a current student
Parent of a former student",,"Several times a week","Campus News
Sports
Opinions",3,"Breaking News
Opinions","Computer / Laptop","Mobile website",3,Twitter,"The Diamondback
Twitter",,,
Female,51-60,"UMD alumni
Parent of a current student",,"Several times year","Campus News
College Park News
Opinions",4,"Breaking News",Phone,"Mobile website",3,Twitter,"The Diamondback
University emails
Twitter",,,
Male,71+,"UMD alumni
Parent of a current student",Senior,"At least once a day",Sports,1,"Sports
Diversity, Equity and Inclusion","Computer / Laptop",,1,"I do not use social media","None of these",,,
Female,51-60,"UMD alumni
Parent of a current student",Senior,"Several times year","Campus News
Sports",5,"Lifestyle Content
Entertainment
Sports","Computer / Laptop","Mobile website",3,"None of the above","The Diamondback
University emails","I just need more time to read it.","News, Sports","Interested in activities to bring off-campus readers (back) to campus."
Male,51-60,"UMD alumni
Parent of a current student",,"Several times year","Campus News
Sports
Opinions",3,"Entertainment
Sports
Diversity, Equity and Inclusion","Computer / Laptop
Tablet",App,5,,"Stories Beneath the Shell
Word of Mouth",,,
Female,51-60,"UMD alumni
Parent of a current student",,"Several times a week","Campus News
Sports",3,"Breaking News
More investigative reporting about things happening on campus. Even small things like why when there is a student giveaway at games isn't it done at the door/gate? They did it for Len Bias jersey, why not all the time? Is it laziness? ",Phone,"Mobile website",3,"Facebook
Instagram","University emails",,,
Male,41-50,"UMD alumni
Parent of a current student",Sophomore,"At least once a day","Campus News
Sports",4,Sports,"Computer / Laptop",,5,"None of the above","The Diamondback
The Left Bench",,,
Female,31-40,"UMD alumni
Parent of a current student",,"Several times a week","Campus News
College Park News
Crime
Other",2,"Breaking News
Lifestyle Content
Entertainment","Computer / Laptop",,2,"None of the above","University Social Media",,,
Female,51-60,"UMD alumni
Parent of a current student",Junior,"At least once a week","Campus News
Crime",4,"Breaking News",Phone,"Mobile website",5,Instagram,"The Diamondback
University emails
University Social Media","More coverage of campus housing/facility/parking issues/safety/health problems.","Great reporting on campus news and articles about issues of interest to students.",
Male,71+,"UMD alumni
Other",,"Several times year",Sports,4,Sports,"Computer / Laptop","Mobile website",4,"I do not use social media",,,,
Female,71+,"UMD alumni
Other",,,,,,,,,,,,"As a graduate student alum and former staff member, the DBK helps keep me in touch with campus happenings.",
Male,61-70,"UMD alumni
Other",,"At least once a day","Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",5,"Entertainment
Student performances at CSPAC","Phone
Computer / Laptop","I get my news from social media",3,"Facebook
Instagram","The Diamondback
WMUC Radio
University emails
University Social Media
Word of Mouth","Go back to at least one hard copy edition every week. A lot of people don't know you exist because they never actually see a copy. ","Campus and College Park issues like transportation, high cost of housing, local politics. ALL of your sports coverage is great!","More coverage of academic programs would be helpful. UMD has a number of outstanding programs that are obscure, small in size, not well known. It would be a service to profile them. "
Male,71+,"UMD alumni
Other",Other,"Several times year",Sports,3,"Breaking News
Sports",Tablet,"Mobile website",3,"Daily emailed newsletter","The Diamondback
University emails",,,
Male,51-60,"UMD alumni
Other",,"Several times a week","Campus News
College Park News",4,,"Phone
Computer / Laptop","Mobile website",1,"Daily emailed newsletter","The Diamondback",,,"Thank you for fixing the font colors in the daily news email. The old version had insufficient contrast, which impaired reading. "
Male,61-70,"UMD alumni
College Park citizen or official/non-student
Other",,"At least once a day","Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",5,"Faculty profiles, staff employee matters, campus research institutes, ",,,,,,,,
Female,71+,"UMD alumni
College Park citizen or official/non-student",,"At least once a day","College Park News",5,"Breaking News",Tablet,,1,"Daily emailed newsletter","The Diamondback","You already do a fabulous job. So glad you’re covering City news in a timely manner. Especially since no one else is.",Excellent.,
Male,22-24,"UMD alumni
College Park citizen or official/non-student",,"At least once a week","Campus News
College Park News
Sports",5,"Breaking News
Lifestyle Content
Opinions
Sports",Phone,App,5,Instagram,"The Diamondback
University emails
University Social Media","I would like to see a way to submit topics of interest for opinion writers. ","I think the paper super candid and honest about how things on campus are. It’s refreshing to not be fed the propaganda from administration lol. ","Secondly, I think a piece about Maryland athletics overselling the student section at basketball games could be quite interesting. Two games this season they have sold more tickets than allotted and forced students into the 200s. As well, an opinion piece on the distribution of shirts at basketball games. It gets frustrating when you wait in line but people arrive, take shirts, and leave, leaving you to find a seat with no shirt when you intend to stay for the whole game. Maryland athletics has a great student culture. The Wall is so energetic, but the small things like I mentioned are really disheartening for those of us that love Terp sports.  "
Male,61-70,"UMD alumni",,"Very rarely",Sports,2,Sports,Phone,"Mobile website",,Facebook,"Word of Mouth",,,
"Prefer not to answer",71+,"UMD alumni",,"At least once a week",Sports,5,Sports,Phone,"Mobile website",3,"I do not use social media","The Diamondback",,,
Male,71+,"UMD alumni",,"Several times year","Campus News
Sports",4,"Breaking News",Phone,"Mobile website",4,"I do not use social media",,,,
Male,61-70,"UMD alumni",,"Several times year",Sports,4,Sports,Phone,"Mobile website",2,"None of the above",,,,
Male,61-70,"UMD alumni",,"At least once a week",Sports,3,Sports,Phone,App,4,"Facebook
Instagram
Twitter",Twitter,,,
Female,31-40,"UMD alumni",,"Several times year","Campus News
Sports",3,"Breaking News
Lifestyle Content
Sports",Phone,"Mobile website",2,"I do not use social media","The Diamondback",,,
Female,71+,"UMD alumni",,"Very rarely",Sports,1,Sports,Tablet,"Mobile website",3,"None of the above","None of these",,,
Male,61-70,"UMD alumni",,"Very rarely",Sports,2,Sports,Phone,"I get my news from social media",5,"None of the above","None of these",,,
Male,71+,"UMD alumni",,"Very rarely",Sports,5,"Breaking News
Sports","Computer / Laptop","I get my news from social media",5,Google,"The Diamondback","Nest way to get the diamondback mrws",Updates,
Female,22-24,"UMD alumni",,"At least once a month","Campus News
College Park News
Opinions",4,Opinions,Phone,"I get my news from social media",2,"Daily emailed newsletter
Instagram","The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth",,"Covers stories students care about and gets perspectives from students",
Female,31-40,"UMD alumni",,"At least once a week","Campus News",2,,,,1,"None of the above",,"You could at least pretend to give unbiased reporting.",,
Female,71+,"UMD alumni",,"At least once a day","Campus News
Sports",5,"Breaking News
Sports","Phone
Tablet",App,5,"Facebook
Twitter","The Diamondback
Maryland Today
University emails","They do a good job","It’s a mixed bag of information.",
Male,41-50,"UMD alumni",Other,"At least once a month","Campus News",4,"Diversity, Equity and Inclusion",Phone,App,4,"I do not use social media","The Diamondback
University emails
Word of Mouth","Create an app","Campus news",
Male,41-50,"UMD alumni",,"Several times a week","Campus News
College Park News
Sports",2,"Breaking News
Opinions","Computer / Laptop","Mobile website",1,"None of the above
I do not use social media","The Diamondback","Provide more real news that affects the student and campus community, rather that the collection of social gossip with no real value. When I was a student, both undergrad and grad, this was a premier campus publication, it's now a social rag. ","Very little in the area of real journalism, which is appalling considering the resources at hand.","Return to a newspaper format online and report more real journalistic information, along with editorials from readers. "
Male,51-60,"UMD alumni",,"Several times a week","Campus News
College Park News
Sports
Opinions",2,"Breaking News","Computer / Laptop","Mobile website",1,"None of the above","The Diamondback","Publish less articles about LGBT community","Pushing a liberal woke agenda.",
Female,22-24,"UMD alumni",Other,"At least once a month","Campus News
College Park News",,"Breaking News
Diversity, Equity and Inclusion","Computer / Laptop","Mobile website",2,"Daily emailed newsletter
Instagram
Twitter","The Diamondback",,,
Male,41-50,"UMD alumni",,"Very rarely",,3,,,,,,,,,
Male,41-50,"UMD alumni",Other,"Several times a week",Other,,"Student Profiles",,,,,,,,
Male,51-60,"UMD alumni",,"Very rarely",Sports,3,,Phone,"Mobile website",,,,,,
Male,71+,"UMD alumni",,"At least once a day",Sports,4,Sports,Phone,"Mobile website",4,"None of the above","The Diamondback",,,
Female,71+,"UMD alumni",,"At least once a day","Campus News
College Park News",5,"Breaking News
City news, esp. development stories",Tablet,,1,"Daily emailed newsletter","The Diamondback",,,"You all do a fabulous job. Thank you!
CP resident and alum"
Male,71+,"UMD alumni",,"At least once a month",Sports,4,Sports,Phone,"Mobile website",4,"None of the above",,,,
Female,22-24,"UMD alumni",,"Several times year","Campus News
College Park News",3,"Breaking News
Student Profiles",Phone,"Mobile website",1,"Facebook
Instagram","The Diamondback",,,
Male,51-60,"UMD alumni",,"At least once a week",Sports,4,"Student Profiles
Entertainment
Opinions
Sports",Phone,"Mobile website",4,"None of the above","The Diamondback
University emails
University Social Media","More local stories as College Park and the surrounding area is changing so much","Local reporting",
Male,61-70,"UMD alumni",,"At least once a month",Sports,2,Sports,Phone,"Mobile website",1,"None of the above
I do not use social media","None of these",,,
Female,51-60,"UMD alumni",,"At least once a week","Campus News
Sports
Crime
Opinions",3,"Lifestyle Content
Opinions
Diversity, Equity and Inclusion","Computer / Laptop","Mobile website",3,"Daily emailed newsletter","University Social Media
Word of Mouth
Family member that works on campus",,,
Male,41-50,"UMD alumni",Other,"At least once a week","Campus News
College Park News
Sports",2,"Breaking News
Opinions
Sports","Computer / Laptop","Mobile website",1,"None of the above","The Diamondback",,,"I completed a survey yesterday, however, I am compelled to do a do over because of what I could not find today. Last night the men's basketball team delivered a tremendous performance in defeating a top ten, conference competitor. This victory was good enough to make the front page of The Washington Post sports section, but I had to struggle to find it on Maryland's student newspaper. Where was it, deep in the sports section as if it was old news. It's this kind of shoddy journalism that has made the current version of The Diamondback simply pathetic. Not to mention that the quality of the story presented was dismal at best. DO BETTER!"
Male,51-60,"UMD alumni",,"Several times year","Campus News
Sports
Opinions",4,"Student Profiles
Campus Development & research going","Computer / Laptop",Internet,4,"Daily emailed newsletter","The Diamondback","Challenging Crossword Puzzles; Campus Trivia; Campus Geocache games","Generally entertaining.  Miss some of the humor/comic sections from the past","Maybe have a ""TESTUDO SPEAKS"" column where UMD's famous mascot opines on the topics/stories of today and yesterday."
Male,31-40,"UMD alumni",,"Several times a week",Sports,2,Sports,Tablet,App,5,"None of the above",,,,
Male,41-50,"UMD alumni",,,"Campus News
Sports",3,"Breaking News
Sports",Phone,"An app",,"Daily E-mailed newsletter
Twitter","Word of Mouth",,,
Male,61-70,"UMD alumni",,"At least once a day","Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",5,"Breaking News
Student Profiles
Entertainment
Opinions
Sports
Diversity, Equity and Inclusion",Phone,App,5,"None of the above","The Diamondback
WMUC Radio
Word of Mouth","It would be nice to do a respectful vignette of each staff member to help us feel connected in a unique, special way. We have this bond, by way of “The Diamondback.” The creators and the consumers are kindred spirits.",") Elevated english, linguistically correct and 2) clever turns of phrase and introduction of greater ideas.
Fearlessly forward. Your points of view are born of logic and ideals. ",
Male,41-50,"UMD alumni",,"Several times a week","Campus News
Opinions",3,"Breaking News","Computer / Laptop",,4,Twitter,Twitter,"I would love to see a broader diversity of opinion in the commentary. I can't recall the last time I read a social conservative, fiscal conservative, or libertarian perspective. Most all commentary pieces come from a strongly left-wing perspective. It's fine to include those voices, but it seems to me you could do well to have some right of center and libertarian ones in the commentary and op-ed pages.",,
Male,71+,"UMD alumni",,"At least once a week","Campus News
Sports",3,Sports,"Computer / Laptop",App,4,"None of the above","The Diamondback","no idea",OK,NO
Male,31-40,"UMD alumni",,"At least once a day","Campus News
College Park News
Sports",4,"Breaking News
Sports
Diversity, Equity and Inclusion","Computer / Laptop","Don't read nwes on my phone",1,Twitter,"The Diamondback
WMUC Radio
University emails
University Social Media
Twitter",,,
Non-binary,71+,"UMD alumni",,"Very rarely",Other,1,"Diversity, Equity and Inclusion",Phone,"Mobile website",1,"I do not use social media","Mitzpeh
Her Campus
The Left Bench
Stories Beneath the Shell
Unwind Magazine
WMUC Radio
Terrapin Yearbook
The Writers Bloc
Maryland Today
University emails
University Social Media
Word of Mouth
Twitter",,,
Female,25-30,"UMD alumni",,"At least once a month","Campus News
College Park News
Sports",4,,Phone,"Mobile website",1,"Facebook
Instagram
Twitter","The Diamondback
University emails
Word of Mouth","I am unable to open DBK on my laptop and it is very frustrating. ",,
Male,71+,"UMD alumni",,"Several times a week","Campus News
College Park News
Diversions/Entertainment
Sports",4,"Breaking News
Lifestyle Content
Student Profiles
Entertainment
Sports",Phone,"Mobile website",4,"Daily emailed newsletter
Facebook","The Diamondback
University emails","Keep doing your outstanding work","It covers the university area interest in news","Keep up the good work"
Male,61-70,"UMD alumni",,"Several times a week",Sports,5,"Breaking News
Sports","Computer / Laptop","Mobile website",3,"I do not use social media","The Diamondback",,,
Male,71+,"UMD alumni",,"Very rarely",Sports,3,,"Computer / Laptop",,4,"None of the above",,,,
Female,51-60,"UMD alumni",,"Several times year",Sports,3,,,,,,,,,
Male,61-70,"UMD alumni",Other,"Very rarely",Sports,3,Sports,Phone,,2,"None of the above","None of these",,,
Female,25-30,"UMD alumni",,"At least once a month","Campus News
College Park News
Opinions",3,"Lifestyle Content
Opinions","Phone
Computer / Laptop","Mobile website",2,Instagram,"The Diamondback",,,
Male,71+,"UMD alumni",,"At least once a week","Campus News
Sports",5,"Breaking News
Sports",Phone,"Mobile website",4,"Daily emailed newsletter","The Diamondback
University emails
University Social Media
Word of Mouth","Keep doing what you are doing.  It's great.","Covering the entire university.",
Male,71+,"UMD alumni",,"At least once a month","Campus News
Sports",4,"Lifestyle Content
Sports","Phone
Tablet","Mobile website",5,Instagram,"The Diamondback","keep growing ","over main ampus/school news/events","none. read more often"
Male,51-60,"UMD alumni",,"At least once a week","Campus News
College Park News
Sports",4,"Local News Coverage","Computer / Laptop","Mobile website",1,Twitter,"The Diamondback
Stories Beneath the Shell
Unwind Magazine
Maryland Today","Local news coverage has been VERY POOR over the last year.  Several years ago (before COVID) The Diamondback used have great coverage of new developments and business openings & closings throughout College Park and other Rt. 1 communities.  Now you barely put any effort at all into these stories.  This week there was a belated business ""roundup"" article, with one paragraph devoted to each business opening & closing.  Why weren't these events being covered as they happened ?  Not too long ago, The Diamondback would've had one article each for every one of those paragraphs.  Very disappointed the way the local coverage has been going the last few years.","The coverage of social issues is well meaning and admirable, though it gets excessive at times.  Too many other news stories get missed as a result.","Focus more on solid local news coverage stories and less on shallow ""click bait"" articles.  The Diamondback used to be a higher quality source of news."
"Prefer not to answer",51-60,"UMD alumni",,"Several times year","Campus News
Sports",2,"Breaking News
Sports",Phone,"Mobile website",4,"None of the above","University Social Media",,,
Female,61-70,"UMD alumni",,"At least once a day","Campus News
College Park News
Opinions",3,"Student Profiles
Opinions
Campus issues ",Phone,"DBK email",5,"Daily emailed newsletter
Facebook
Instagram
Twitter","The Diamondback
Mitzpeh
WMUC Radio
University emails
Word of Mouth","Cover campus issues ",,"DBK is great!"
Male,41-50,"UMD alumni",,"At least once a week","Campus News
College Park News
Sports",4,"Breaking News
Lifestyle Content
Student Profiles
Diversity, Equity and Inclusion","Computer / Laptop","Mobile website",5,"Daily emailed newsletter
Facebook
Instagram
Twitter","None of these",,"i miss the print edition but i am an ancient alumni who worked at the DBK 20 years ago so what do i know. ","keep up the good work kids! DBK may be the best newspaper you ever work for, use the time well "
Male,71+,"UMD alumni",,"At least once a week","Campus News
College Park News
Sports
Crime
Opinions",2,"Breaking News
Opinions","Phone
Computer / Laptop",App,5,"I do not use social media","The Diamondback
University emails
Word of Mouth","Tighten the writing and editing of stories. ","Reflects student attitudes, interests, preferences, viewpoints.","Still as good a student newspaper as there is. "
Male,25-30,"UMD alumni",,"Several times year","Campus News
College Park News
Sports
Crime",4,,"Computer / Laptop","Mobile website",3,"Instagram
Twitter","The Diamondback",,,
Male,31-40,"UMD alumni",,"Very rarely",,,,,,,,,,,
Male,25-30,"UMD alumni",,"Very rarely","Campus News
College Park News
Diversions/Entertainment
Crime",3,"Breaking News
Lifestyle Content
Sports
Diversity, Equity and Inclusion","Phone
Computer / Laptop","Mobile website",5,"Daily emailed newsletter","The Diamondback
Twitter",,,
Male,61-70,"UMD alumni",,"Several times year",Sports,3,,Phone,,,,,,,
Female,41-50,"UMD alumni",,"At least once a week","Campus News
College Park News
Sports
Opinions",4,,"Phone
Tablet","I get my news from social media",3,Twitter,"The Diamondback
University emails
University Social Media
Twitter",,,
Male,71+,"UMD alumni",,"Several times a week","College Park News
Diversions/Entertainment
Sports",5,"Breaking News
Entertainment
Sports",Phone,"Mobile website",4,"Daily emailed newsletter","The Diamondback",,,
Male,51-60,"UMD alumni",,"At least once a day","Campus News",4,"Breaking News
campus news","Computer / Laptop","Mobile website",1,"Daily emailed newsletter","The Diamondback
Maryland Today
University emails
University Social Media
Twitter","more news stories and less editorials ","for7 a campus newspaper it is good",
Male,51-60,"UMD alumni",,"Several times year","Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions
Other",3,"Breaking News
Lifestyle Content
Student Profiles
Opinions",Phone,"Mobile website",3,"Daily emailed newsletter
Facebook","The Diamondback
University emails
University Social Media
Word of Mouth",,,
Male,31-40,"UMD alumni",,"At least once a month","Campus News
College Park News
Diversions/Entertainment
Sports",5,"Breaking News
Lifestyle Content
Entertainment
Sports
Diversity, Equity and Inclusion",Phone,"Mobile website",,"I do not use social media","None of these",,,
Male,51-60,"UMD alumni",,"At least once a week","Campus News
Sports
Opinions",3,"Breaking News","Computer / Laptop",,3,"None of the above","The Diamondback",,,
Male,22-24,"UMD alumni",,"Several times year","Diversions/Entertainment
Sports",3,,"Phone
Computer / Laptop",,4,"Facebook
Instagram
Twitter",,,,
Female,41-50,"UMD alumni",,"Very rarely","Campus News
College Park News
Diversions/Entertainment
Sports",3,"Breaking News
Lifestyle Content",Phone,"I get my news from social media",1,"Facebook
Twitter","The Diamondback
University emails
University Social Media
Twitter",,,
Male,61-70,"UMD alumni",,"Several times a week","Campus News
Sports
Opinions",3,"Student Profiles
News analysis",,,,,,,,
Female,61-70,"UMD alumni",,"At least once a month",,3,Sports,"Computer / Laptop","Mobile website",3,,,,,
Female,61-70,"UMD alumni",,"At least once a week","Campus News
College Park News
Opinions",4,"Breaking News
Lifestyle Content
Sports","Computer / Laptop","Mobile website",1,"Daily emailed newsletter","The Diamondback",,"Continuing its mission as the bet, primary news source for the UMd College Park community. ","As a former DBK editorial writer, reporter, and typesetter, it has been wonderful watching the evolution of the news organization that kicked off my journalism career. Watching the evolution from a daily newspaper to a comprehensive digital news operation has been a joy. "
Male,71+,"UMD alumni",,"At least once a day",Sports,5,Sports,Phone,"Mobile website",4,"None of the above","None of these",,,
